state,country,date,deaths
Jilin,China,3/17/20,1
Jilin,China,3/18/20,1
Jilin,China,3/19/20,1
Jilin,China,3/20/20,1
Jilin,China,3/21/20,1
Jilin,China,3/22/20,1
Jilin,China,3/23/20,1
Jilin,China,3/24/20,1
Jilin,China,3/25/20,1
Jilin,China,3/26/20,1
Jilin,China,3/27/20,1
Jilin,China,3/28/20,1
Jilin,China,3/29/20,1
Jilin,China,3/30/20,1
Jilin,China,3/31/20,1
Jilin,China,4/1/20,1
Jilin,China,4/2/20,1
Jilin,China,4/3/20,1
Jilin,China,4/4/20,1
Jilin,China,4/5/20,1
Jilin,China,4/6/20,1
Jilin,China,4/7/20,1
Jilin,China,4/8/20,1
Jilin,China,4/9/20,1
Jilin,China,4/10/20,1
Jilin,China,4/11/20,1
Jilin,China,4/12/20,1
Jilin,China,4/13/20,1
Jilin,China,4/14/20,1
Jilin,China,4/15/20,1
Jilin,China,4/16/20,1
Jilin,China,4/17/20,1
Jilin,China,4/18/20,1
Jilin,China,4/19/20,1
Jilin,China,4/20/20,1
Jilin,China,4/21/20,1
Jilin,China,4/22/20,1
Jilin,China,4/23/20,1
Jilin,China,4/24/20,1
Jilin,China,4/25/20,1
Jilin,China,4/26/20,1
Jilin,China,4/27/20,1
Jilin,China,4/28/20,1
Jilin,China,4/29/20,1
Jilin,China,4/30/20,1
Jilin,China,5/1/20,1
Jilin,China,5/2/20,1
Jilin,China,5/3/20,1
Jilin,China,5/4/20,1
Jilin,China,5/5/20,1
Jilin,China,5/6/20,1
Jilin,China,5/7/20,1
Jilin,China,5/8/20,1
Jilin,China,5/9/20,1
Jilin,China,5/10/20,1
Jilin,China,5/11/20,1
Jilin,China,5/12/20,1
Jilin,China,5/13/20,1
Jilin,China,5/14/20,1
Jilin,China,5/15/20,1
Jilin,China,5/16/20,2
Jilin,China,5/17/20,2
Jilin,China,5/18/20,2
Jilin,China,5/19/20,2
Jilin,China,5/20/20,2
Jilin,China,5/21/20,2
Jilin,China,5/22/20,2
Jilin,China,5/23/20,2
Jilin,China,5/24/20,2
Jilin,China,5/25/20,2
Jilin,China,5/26/20,2
Jilin,China,5/27/20,2
Jilin,China,5/28/20,2
Jilin,China,5/29/20,2
Jilin,China,5/30/20,2
Jilin,China,5/31/20,2
Jilin,China,6/1/20,2
Jilin,China,6/2/20,2
Jilin,China,6/3/20,2
Jilin,China,6/4/20,2
Jilin,China,6/5/20,2
Jilin,China,6/6/20,2
Jilin,China,6/7/20,2
Jilin,China,6/8/20,2
Jilin,China,6/9/20,2
Jilin,China,6/10/20,2
Jilin,China,6/11/20,2
Jilin,China,6/12/20,2
Jilin,China,6/13/20,2
Jilin,China,6/14/20,2
Jilin,China,6/15/20,2
Jilin,China,6/16/20,2
Jilin,China,6/17/20,2
Jilin,China,6/18/20,2
Jilin,China,6/19/20,2
Jilin,China,6/20/20,2
Jilin,China,6/21/20,2
Jilin,China,6/22/20,2
